,Station ID,start station name,Flow,start station latitude,start station longitude
217,485,W 37 St & 5 Ave,-940,40.75038009,-73.98338988
218,486,Broadway & W 29 St,-62,40.7462009,-73.98855723
219,487,E 20 St & FDR Drive,-142,40.73314259,-73.97573881
220,489,10 Ave & W 28 St,-155,40.75066386,-74.00176802
221,490,8 Ave & W 33 St,-39,40.751551,-73.993934
222,491,E 24 St & Park Ave S,202,40.74096374,-73.98602213
223,492,W 33 St & 7 Ave,-486,40.75019995,-73.99093085
224,493,W 45 St & 6 Ave,-151,40.7568001,-73.98291153
225,494,W 26 St & 8 Ave,-366,40.74734825,-73.99723551
226,495,W 47 St & 10 Ave,-202,40.76269882,-73.99301222
227,496,E 16 St & 5 Ave,170,40.73726186,-73.99238967
228,497,E 17 St & Broadway,2261,40.73704984,-73.99009296
229,499,Broadway & W 60 St,-876,40.76915505,-73.98191841
230,500,Broadway & W 51 St,-448,40.76228826,-73.98336183
231,501,FDR Drive & E 35 St,101,40.744219,-73.97121214
232,502,Henry St & Grand St,-322,40.714211,-73.981095
233,503,E 20 St & Park Ave,215,40.73827428,-73.98751968
234,504,1 Ave & E 16 St,-733,40.73221853,-73.98165557
235,505,6 Ave & W 33 St,-714,40.74901271,-73.98848395
236,507,E 25 St & 2 Ave,-586,40.73912601,-73.97973776
237,508,W 46 St & 11 Ave,187,40.76341379,-73.99667444
238,509,9 Ave & W 22 St,679,40.7454973,-74.00197139
239,513,W 56 St & 10 Ave,-15,40.768254,-73.988639
240,514,12 Ave & W 40 St,1597,40.76087502,-74.00277668
241,515,W 43 St & 10 Ave,110,40.76009437,-73.99461843
242,516,E 47 St & 1 Ave,39,40.75206862,-73.96784384
243,517,Pershing Square South,-1142,40.751581,-73.97791
244,518,E 39 St & 2 Ave,-300,40.74780373,-73.97344190000001
245,519,Pershing Square North,-498,40.751872999999996,-73.97770600000001
246,520,W 52 St & 5 Ave,-132,40.75992262,-73.97648516
